"","ď..web.scraper.order","web.scraper.start.url","categories","categories.href","openindiv","openindiv.href","pricinglink","pricinglink.href","Current_Price","Depreciation","Down_Payment","Installment","Road_Tax","OMV","ARF","VES","Vehicle.Name","specslink","specslink.href","eng_cap","engine_type","top_speed","Fuel_consumption","tank_cap","veh_type"
"1","1600773903-598","https://www.sgcarmart.com/new_cars/index.php","BMW","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=BMW","BMW 2 Series Active Tourer Plug-in Hybrid","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12171","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12171","$189,888","$17,400 /yr","$75,955 (Maximum 60% loan)","$1,620 /mth","$696Â /yr","$35,850","$32,190 (after VES rebate)","$10,000 (Rebate)","BMW 2 Series Active Tourer Plug-in Hybrid","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12171","1,499 cc","3-cylinder 12-valve TwinPower Turbocharged","202 km/h","38.4 km/L","36 L","MPV"
"2","1600774401-659","https://www.sgcarmart.com/new_cars/index.php","Audi","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Audi","Audi RS4 Avant","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12300","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12300","$404,922","-","$161,969 (Maximum 60% loan)","$3,455 /mth","$2,262Â /yr","-","-","$20,000 (Surcharge)","Audi RS4 Avant","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12300","2,894 cc","V6 Bi-Turbocharged","250 km/h","10.5 km/L","58 L","Stationwagon"
"3","1600770869-422","https://www.sgcarmart.com/new_cars/index.php","Mazda","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Mazda","Mazda 2 Hatchback","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=11623","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=11623","$81,388","$7,200 /yr","$24,416 (Maximum 70% loan)","$810 /mth","$682Â /yr","$18,304","$18,304","$0","Mazda 2 Hatchback","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=11623","1,496 cc","4-cylinder in-line 16-valve DOHC SKYACTIV-G","184 km/h","19.6 km/L","44 L","Hatchback"
"4","1600774451-665","https://www.sgcarmart.com/new_cars/index.php","Audi","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Audi","Audi Q8 Mild Hybrid","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12380","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12380","$379,300","-","$151,720 (Maximum 60% loan)","$3,237 /mth","$2,380Â /yr","-","-","$20,000 (Surcharge)","Audi Q8 Mild Hybrid","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12380","2,995 cc","V6 Turbocharged","250 km/h","11.2 km/L","85 L","SUV"
"5","1600774110-623","https://www.sgcarmart.com/new_cars/index.php","BMW","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=BMW","BMW X2","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12262","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12262","$170,888","166,888","166,888","171,888","175,888","178,888","-","$0","BMW X2","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12262","1,499 cc","3-cylinder in-line 12-valve Turbocharged","205 km/h","15.9 km/L","51 L","SUV"
"6","1600770107-346","https://www.sgcarmart.com/new_cars/index.php","MINI","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=MINI","MINI One 5-Door","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=11676","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=11676","$123,888","$11,500 /yr","$49,555 (Maximum 60% loan)","$1,057 /mth","$684Â /yr","$26,093","$18,530 (after VES rebate)","$10,000 (Rebate)","MINI One 5-Door","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=11676","1,499 cc","3-cylinder in-line 12-valve TwinPower Turbocharged","192 km/h","18.5 km/L","40 L","Hatchback"
"7","1600769894-325","https://www.sgcarmart.com/new_cars/index.php","Mitsubishi","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Mitsubishi","Mitsubishi L200 Triton","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12608","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12608","$127,988","129,988","129,988","129,988","129,988","133,988","-","-","Mitsubishi L200 Triton","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12608","2,268 cc","4-cylinder in-line Turbocharged","171 km/h","13.3 km/L","75 L","Commercial"
"8","1600769989-334","https://www.sgcarmart.com/new_cars/index.php","MINI","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=MINI","MINI Cooper 5-Door","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12342","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12342","$145,888","","","","146,888","149,888","$32,169","$0","MINI Cooper 5-Door","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12342","1,499 cc","3-cylinder in-line 12-valve Turbocharged","207 km/h","18.5 km/L","40 L","Sports"
"9","1600774046-615","https://www.sgcarmart.com/new_cars/index.php","BMW","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=BMW","BMW 8 Series Gran Coupe","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12589","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12589","$484,888","477,888","477,888","483,888","487,888","490,888","-","$10,000 (Surcharge)","BMW 8 Series Gran Coupe","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12589","2,998 cc","6-cylinder in-line TwinPower Turbocharged","250 km/h","12.7 km/L","68 L","Sports"
"10","1600767809-201","https://www.sgcarmart.com/new_cars/index.php","Toyota","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Toyota","Toyota Corolla Altis","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12618","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12618","$99,888","$9,000 /yr","$29,966 (Maximum 70% loan)","$994 /mth","$742Â /yr","$19,678","$19,678","$0","Toyota Corolla Altis","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12618","1,598 cc","4-cylinder in-line 16-valve Dual VVT-i","190 km/h","15.6 km/L","50 L","Sedan"
"11","1600773587-562","https://www.sgcarmart.com/new_cars/index.php","BMW M Series","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=BMW+M+Series","BMW M Series X4 M","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12614","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12614","$473,888","-","$189,555 (Maximum 60% loan)","$4,044 /mth","$2,378Â /yr","-","-","$20,000 (Surcharge)","BMW M Series X4 M","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12614","2,993 cc","6-cylinder in-line TwinPower-Turbocharged","250 km/h","9.5 km/L","65 L","SUV"
"12","1600772212-470","https://www.sgcarmart.com/new_cars/index.php","Jeep","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Jeep","Jeep Wrangler Rubicon 4-Door","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12563","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12563","$259,999","$23,400 /yr","$104,000 (Maximum 60% loan)","$2,219 /mth","$1,208Â /yr","$43,135","$52,389","$20,000 (Surcharge)","Jeep Wrangler Rubicon 4-Door","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12563","1,995 cc","4-cylinder in-line 16-valve Turbocharged","201 km/h","11.6 km/L","81.4 L","SUV"
"13","1600772580-485","https://www.sgcarmart.com/new_cars/index.php","Infiniti","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Infiniti","Infiniti Q50","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=11553","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=11553","$171,800","$15,400 /yr","$68,720 (Maximum 60% loan)","$1,466 /mth","$1,202Â /yr","$30,512","$34,717","$10,000 (Surcharge)","Infiniti Q50","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=11553","1,991 cc","4-cylinder in-line 16-valve Turbocharged","245 km/h","13.6 km/L","80 L","Luxury Sedan"
