web-scraper-order,web-scraper-start-url,categories,categories-href,openindiv,openindiv-href,pricinglink,pricinglink-href,Current_Price,Depreciation,Down_Payment,Installment,Road_Tax,OMV,ARF,VES,Vehicle Name,specslink,specslink-href,eng_cap,engine_type,top_speed,Fuel_consumption,tank_cap,veh_type,featureslink,featureslink-href,KeylessEntry,AutoWipers,AutoHeadlights,PaddleShift,ElectricPBrake,SmartKey,RemoteBoot,ElectricSeat,ReverseCam,Power
"1601043839-225","https://www.sgcarmart.com/new_cars/index.php","MG","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=MG","MG ZS Electric","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12650","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12650","$122,888","$11,500 /yr","$49,155 (Maximum 60% loan)","$1,049 /mth","$1,400 /yr","$31,336","$15,870 (after VES rebate)","$20,000 (Rebate)","MG ZS Electric","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12650","unknown","Permanent magnet synchronous motor","unknown","unknown","unknown","SUV","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12650&Subcode=7428","Yes","Yes","Yes","No","Yes","Yes","Yes","null","Yes","105kW (141 bhp)"
"1601049491-567","https://www.sgcarmart.com/new_cars/index.php","Audi","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Audi","Audi Q2","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12032","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12032","$140,776","$12,800 /yr","$56,310 (Maximum 60% loan)","$1,201 /mth","$392 /yr","$23,718","$25,205","$10,000 (Surcharge)","Audi Q2","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12032","999 cc","3-cylinder in-line 12-valve Turbocharged","197 km/h","19.2 km/L","50 L","SUV","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12032&Subcode=5783","Yes","Yes","Yes","No","Yes","Yes","Yes","null","No","85kW (114 bhp)"
"1601039754-69","https://www.sgcarmart.com/new_cars/index.php","Toyota","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Toyota","Toyota Alphard","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=11649","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=11649","null","$233,988","null","null","null","null","null","null","Toyota Alphard(Parallel Imported)","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=11649","2,493 cc","4-cylinder in-line 16-valve DOHC","unknown","11.6 km/L","75 L","MPV","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=11649&Subcode=4480","Yes","No","Yes","No","Yes","Yes","No","null","No","134kW (180 bhp)"
"1601045438-315","https://www.sgcarmart.com/new_cars/index.php","Maserati","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Maserati","Maserati GranTurismo","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=10540","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=10540","$568,800","-","-","-","$5,030 /yr","$133,300","$211,940","$20,000 (Surcharge)","Maserati GranTurismo","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=10540","4,691 cc","V8","298 km/h","6.9 km/L","86 L","Sports","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=10540&Subcode=3214","No","Yes","Yes","Yes","Yes","Yes","Yes","null","Yes","338kW (453 bhp)"
"1601044606-262","https://www.sgcarmart.com/new_cars/index.php","Mercedes-Benz","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Mercedes-Benz","Mercedes-Benz C-Class Coupe","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12412","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12412","$203,888","-","$81,555 (Maximum 60% loan)","$1,740 /mth","$684 /yr","-","-","$10,000 (Surcharge)","Mercedes-Benz C-Class Coupe","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12412","1,497 cc","4-cylinder in-line Turbocharged","223 km/h","15.4 km/L","unknown","Sports","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12412&Subcode=7721","Yes","Yes","Yes","Unknown","Yes","Yes","Unknown","null","Yes","115kW (154 bhp)"
"1601038171-18","https://www.sgcarmart.com/new_cars/index.php","Volkswagen","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Volkswagen","Volkswagen Golf R","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=11500","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=11500","$218,900","$19,500 /yr","$87,560 (Maximum 60% loan)","$1,868 /mth","$1,194 /yr","$39,901","$47,861","$20,000 (Surcharge)","Volkswagen Golf R","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=11500","1,984 cc","4-cylinder 16-valve TSI Turbocharged","250 km/h","14 km/L","55 L","Sports","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=11500&Subcode=6031","Yes","Yes","Yes","Yes","Yes","Yes","No","null","Yes","213kW (286 bhp)"
"1601046295-367","https://www.sgcarmart.com/new_cars/index.php","Jeep","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Jeep","Jeep Wrangler Rubicon 4-Door","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12563","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12563","$259,999","$23,400 /yr","$104,000 (Maximum 60% loan)","$2,219 /mth","$1,208 /yr","$43,135","$52,389","$20,000 (Surcharge)","Jeep Wrangler Rubicon 4-Door","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12563","1,995 cc","4-cylinder in-line 16-valve Turbocharged","201 km/h","11.6 km/L","81.4 L","SUV","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12563&Subcode=7199","Yes","No","Yes","No","No","Yes","No","null","Yes","200kW (268 bhp)"
"1601043859-226","https://www.sgcarmart.com/new_cars/index.php","MG","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=MG","MG HS","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12651","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12651","$106,888","$9,600 /yr","$42,755 (Maximum 60% loan)","$912 /mth","$680 /yr","$20,773","$21,082","$10,000 (Surcharge)","MG HS","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12651","1,490 cc","4-cylinder in-line Turbocharged","190 km/h","14.7 km/L","55 L","SUV","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12651&Subcode=7429","Yes","Yes","Yes","Yes","Yes","Yes","Yes","null","Yes","119kW (160 bhp)"
"1601044370-250","https://www.sgcarmart.com/new_cars/index.php","Mercedes-Benz","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Mercedes-Benz","Mercedes-Benz G-Class F1 Auto Cars Edition","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12571","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12571","null","null","null","null","null","null","null","null","Mercedes-Benz G-Class F1 Auto Cars Edition(Parallel Imported)","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12571","3,982 cc","V8 biturbo","220 km/h","9 km/L","100 L","SUV","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12571&Subcode=7224","Yes","Yes","Yes","Yes","Yes","No","No","null","Yes","430kW (577 bhp)"
"1601044413-252","https://www.sgcarmart.com/new_cars/index.php","Mercedes-Benz","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Mercedes-Benz","Mercedes-Benz GLB-Class Diesel","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12694","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12694","null","null","null","null","null","null","null","null","Mercedes-Benz GLB-Class Diesel(Parallel Imported)","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12694","1,950 cc","4-cylinder in-line 16-valve Turbocharged","217 km/h","16.9 km/L","60 L","SUV","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12694&Subcode=7562","Yes","Yes","Yes","Yes","Yes","Yes","Yes","null","Yes","140kW (188 bhp)"
