web-scraper-order,web-scraper-start-url,categories,categories-href,openindiv,openindiv-href,pricinglink,pricinglink-href,Current_Price,Depreciation,Down_Payment,Installment,Road_Tax,OMV,ARF,VES,Vehicle Name,specslink,specslink-href,eng_cap,engine_type,top_speed,Fuel_consumption,tank_cap,veh_type,featureslink,featureslink-href,KeylessEntry,AutoWipers,AutoHeadlights,PaddleShift,ElectricPBrake,SmartKey,RemoteBoot,ElectricSeat,ReverseCam,Power
"1600870429-30","https://www.sgcarmart.com/new_cars/index.php","Toyota","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Toyota","Toyota Hiace High Roof","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=10438","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=10438","null","null","null","null","null","null","null","null","Toyota Hiace High Roof(Parallel Imported)","null","","","","","","","","","","","","","","","","","","",""
"1600872368-326","https://www.sgcarmart.com/new_cars/index.php","Lexus","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Lexus","Lexus NX 300h Hybrid","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=11596","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=11596","null","null","null","null","null","null","null","null","Lexus NX 300h Hybrid","null","","","","","","","","","","","","","","","","","","",""
"1600872080-282","https://www.sgcarmart.com/new_cars/index.php","Mercedes-Benz","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Mercedes-Benz","Mercedes-Benz CLA-Class Coupe","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12492","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12492","null","null","null","null","null","null","null","null","Mercedes-Benz CLA-Class Coupe(Parallel Imported)","null","","","","","","","","","","","","","","","","","","",""
"1600870475-38","https://www.sgcarmart.com/new_cars/index.php","Toyota","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Toyota","Toyota Land Cruiser","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=10585","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=10585","null","null","null","null","null","null","null","null","Toyota Land Cruiser(Parallel Imported)","null","","","","","","","","","","","","","","","","","","",""
"1600873352-447","https://www.sgcarmart.com/new_cars/index.php","DS","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=DS","DS 3 Crossback","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12652","Photos","https://www.sgcarmart.com/new_cars/newcars_photos.php?CarCode=12652","null","","null","","","null","","null","DS 3 Crossback","null","","","","","","","","","","","","","","","","","","",""
"1600873947-518","https://www.sgcarmart.com/new_cars/index.php","BMW","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=BMW","BMW 3 Series Sedan","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12506","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12506","null","null","null","null","null","null","null","null","BMW 3 Series Sedan(Parallel Imported)","null","","","","","","","","","","","","","","","","","","",""
"1600871438-183","https://www.sgcarmart.com/new_cars/index.php","Opel","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Opel","Opel Crossland X","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12177","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12177","null","null","null","null","null","null","null","null","Opel Crossland X","null","","","","","","","","","","","","","","","","","","",""
"1600872196-300","https://www.sgcarmart.com/new_cars/index.php","Mazda","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Mazda","Mazda CX-3","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12302","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12302","null","null","null","null","null","null","null","null","Mazda CX-3","null","","","","","","","","","","","","","","","","","","",""
"1600871746-231","https://www.sgcarmart.com/new_cars/index.php","Mercedes-Benz","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Mercedes-Benz","Mercedes-Benz E-Class Saloon Plug-in Hybrid","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12215","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12215","null","null","null","null","null","null","null","null","Mercedes-Benz E-Class Saloon Plug-in Hybrid(Parallel Imported)","null","","","","","","","","","","","","","","","","","","",""
"1600873991-522","https://www.sgcarmart.com/new_cars/index.php","BMW","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=BMW","BMW X3","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12232","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12232","$259,888","$22,300 /yr","$103,955 (Maximum 60% loan)","$2,218 /mth","$1,210 /yr","$56,382","$73,488","$10,000 (Surcharge)","BMW X3","xDrive30i M Sport (A)","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12232&Subcode=6191","1,998 cc","4-cylinder in-line 16-valve Turbocharged","240 km/h","13.1 km/L","unknown","SUV","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12232&Subcode=6191","Unknown","Yes","Yes","Yes","Unknown","Yes","Yes","null","Yes","185kW (248 bhp)"
"1600872680-375","https://www.sgcarmart.com/new_cars/index.php","Jaguar","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Jaguar","Jaguar XF","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=11789","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=11789","null","null","null","null","null","null","null","null","Jaguar XF","null","","","","","","","","","","","","","","","","","","",""
"1600874162-541","https://www.sgcarmart.com/new_cars/index.php","Bentley","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Bentley","Bentley Bentayga F1 Auto Cars Edition","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12540","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12540","null","null","null","null","null","null","null","null","Bentley Bentayga F1 Auto Cars Edition(Parallel Imported)","null","","","","","","","","","","","","","","","","","","",""
"1600874080-531","https://www.sgcarmart.com/new_cars/index.php","Bentley","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Bentley","Bentley Mulsanne","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=10840","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=10840","null","-","-","-","$8,252 /yr","-","-","-","Bentley Mulsanne","6.75 Speed (A)","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=10840&Subcode=6792","6,750 cc","V8 Twin-turbocharged","305 km/h","6.8 km/L","96 L","Luxury Sedan","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=10840&Subcode=6792","Yes","Yes","Yes","Yes","Yes","Yes","Yes","null","Yes","395kW (530 bhp)"
"1600874444-578","https://www.sgcarmart.com/new_cars/index.php","Aston Martin","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Aston+Martin","Aston Martin DB11 Volante","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12303","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12303","null","null","null","null","null","null","null","null","Aston Martin DB11 Volante","null","","","","","","","","","","","","","","","","","","",""
"1600872379-328","https://www.sgcarmart.com/new_cars/index.php","Lexus","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Lexus","Lexus LS","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12243","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12243","null","null","null","null","null","null","null","null","Lexus LS","null","","","","","","","","","","","","","","","","","","",""
