web-scraper-order,web-scraper-start-url,categories,categories-href,openindiv,openindiv-href,pricinglink,pricinglink-href,Current_Price,Depreciation,Down_Payment,Installment,Road_Tax,OMV,ARF,VES,Vehicle Name,specslink,specslink-href,eng_cap,engine_type,top_speed,Fuel_consumption,tank_cap,veh_type,featureslink,featureslink-href,KeylessEntry,AutoWipers,AutoHeadlights,PaddleShift,ElectricPBrake,SmartKey,RemoteBoot,ElectricSeat,ReverseCam,Power
"1600852462-1781","https://www.sgcarmart.com/new_cars/index.php","Mitsubishi","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Mitsubishi","Mitsubishi L200 Triton","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12608","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12608","$133,988","-","$13,399 (Maximum 90% loan)","$1,715 /mth","-","-","-","-","Mitsubishi L200 Triton","2.2 Double Cab (A)","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12608&Subcode=7577","2,268 cc","4-cylinder in-line Turbocharged","171 km/h","12.8 km/L","75 L","Commercial","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12608&Subcode=7577","Unknown","Unknown","Unknown","Unknown","No","Unknown","No","null","Unknown","110kW (148 bhp)"
"1600859960-1876","https://www.sgcarmart.com/new_cars/index.php","Mazda","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Mazda","Mazda 2 Hatchback","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=11623","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=11623","null","null","null","null","null","null","null","null","Mazda 2 Hatchback","null","","","","","","","","","","","","","","","","","","",""
"1600863956-2211","https://www.sgcarmart.com/new_cars/index.php","BMW","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=BMW","BMW X1","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=11775","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=11775","$176,888","-","$70,755 (Maximum 60% loan)","$1,509 /mth","$684 /yr","$34,226","-","-","BMW X1","sDrive18i (A)","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=11775&Subcode=7249","1,499 cc","3-cylinder in-line 12-valve TwinPower Turbocharged","205 km/h","unknown","51 L","SUV","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=11775&Subcode=7249","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","null","Unknown","3-cylinder in-line 12-valve TwinPower Turbocharged"
"1600849891-1734","https://www.sgcarmart.com/new_cars/index.php","Porsche","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Porsche","Porsche 718 Boxster","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=11996","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=11996","null","null","null","null","null","null","null","null","Porsche 718 Boxster(Parallel Imported)","null","","","","","","","","","","","","","","","","","","",""
"1600843354-1589","https://www.sgcarmart.com/new_cars/index.php","Volvo","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Volvo","Volvo XC60 Plug-in Hybrid","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12655","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12655","null","null","null","null","null","null","null","null","Volvo XC60 Plug-in Hybrid","null","","","","","","","","","","","","","","","","","","",""
"1600845101-1641","https://www.sgcarmart.com/new_cars/index.php","Toyota","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Toyota","Toyota Noah Hybrid Venture Cars Edition","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12578","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12578","null","null","null","null","null","null","null","null","Toyota Noah Hybrid Venture Cars Edition(Parallel Imported)","null","","","","","","","","","","","","","","","","","","",""
"1600846922-1682","https://www.sgcarmart.com/new_cars/index.php","Subaru","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Subaru","Subaru Outback","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=11639","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=11639","null","null","null","null","null","null","null","null","Subaru Outback","null","","","","","","","","","","","","","","","","","","",""
"1600847471-1690","https://www.sgcarmart.com/new_cars/index.php","Ssangyong","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Ssangyong","Ssangyong Musso Sports","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12594","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12594","$191,888","-","$19,189 (Maximum 90% loan)","$2,456 /mth","-","-","-","-","Ssangyong Musso Sports","2.2 2WD (A)","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12594&Subcode=7301","2,157 cc","4-cylinder in-line Turbocharged","185 km/h","12 km/L","75 L","Commercial","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12594&Subcode=7301","Yes","Unknown","Unknown","No","No","Unknown","No","null","Unknown","133kW (178 bhp)"
"1600854463-1829","https://www.sgcarmart.com/new_cars/index.php","Mercedes-Benz","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Mercedes-Benz","Mercedes-Benz GLB-Class Diesel","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12694","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12694","null","null","null","null","null","null","null","null","Mercedes-Benz GLB-Class Diesel(Parallel Imported)","null","","","","","","","","","","","","","","","","","","",""
"1600863111-2118","https://www.sgcarmart.com/new_cars/index.php","BMW M Series","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=BMW+M+Series","BMW M Series X6 M","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12624","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12624","null","null","null","null","null","null","null","null","BMW M Series X6 M","null","","","","","","","","","","","","","","","","","","",""
